kernel,model,accuracy,f1,auc,mcc,cost,score
linear,RandomForest,0.864849292376391,0.8559585492227979,0.9578359878654327,0.7420000222382068,22095,0.7965630680621111
linear,ExtraTrees,0.8356080521444776,0.8365264100268577,0.9191116576648792,0.7120892529282355,23510,0.7659374495854265
linear,GradientBoosting,0.8370124959487198,0.837077033837293,0.9314966112478079,0.7121921802296006,23580,0.7685415517940114
linear,AdaBoost,0.8178544420036732,0.8201280227596017,0.9079668662414423,0.6794940053093466,26720,0.7392519792407912
linear,DecisionTree,0.839137167344881,0.8393107665743372,0.9378989553920285,0.7168977505173731,23090,0.7733392930980006
linear,KNN,0.8454751701537686,0.8434798467991975,0.9379275673979712,0.7228501406812665,22730,0.7779285966364006
linear,XGBoost,0.8658576110050776,0.8546681752565253,0.9574327142806094,0.739209859245164,22945,0.7944002618533892
rbf,RandomForest,0.8657135654866938,0.8545461637477084,0.9575111181263176,0.7389820383572414,22960,0.7942442668501034
rbf,ExtraTrees,0.8408297021858907,0.8413609934678056,0.9431857336840851,0.721565874682632,22580,0.77786935836144
rbf,GradientBoosting,0.8304584248622565,0.8313753581661891,0.9296429421122807,0.7014412941875557,24595,0.760075030170364
rbf,AdaBoost,0.8073031077820592,0.8112189098606456,0.901008098553085,0.662321071005125,28355,0.7249482604002692
rbf,DecisionTree,0.8516331160646764,0.8435482646008962,0.94347227548347,0.7188012741770481,24150,0.7762101734807173
rbf,KNN,0.8425222370269005,0.8409181854560006,0.9355640385232876,0.7181306133323482,23160,0.7738960555829013
rbf,XGBoost,0.8668659296337643,0.8542709606212306,0.95593236243808,0.7386099749628006,23390,0.7936405510236995
poly,RandomForest,0.8752925924592171,0.862421040085813,0.9610948043631614,0.7538445140788677,22130,0.8061522247364209
poly,ExtraTrees,0.7203356260578343,0.6700373895309314,0.7931247516773898,0.4273835163286549,58490,0.5247971507186295
poly,GradientBoosting,0.8463034318844755,0.8418673582808448,0.9430192498456699,0.7174864400635772,23620,0.7750310938417225
poly,AdaBoost,0.831574777629731,0.8319379065004132,0.9226750473346077,0.7019902210000212,24590,0.7591219548169776
poly,DecisionTree,0.8546220605711404,0.847574098546347,0.9476846805118749,0.7268962919622202,23150,0.7831217503305639
poly,KNN,0.8412618387410422,0.8399419026870008,0.9259044189562851,0.7164672889087502,23295,0.7707021762960822
poly,XGBoost,0.8742122510713386,0.8600056109975552,0.9607113472515372,0.7498191703367139,22905,0.8030162497857626
cosine,RandomForest,0.8772011955778026,0.8621442432082794,0.962026865588727,0.7542623012557221,22820,0.8066034083175788
cosine,ExtraTrees,0.8444668515250819,0.8442537232699867,0.9470856983661486,0.7265154264299702,22150,0.7824033105012075
cosine,GradientBoosting,0.8393532356224567,0.8390750694419393,0.9380268566552667,0.715874147767772,23240,0.7726247817126877
cosine,AdaBoost,0.8160898844034715,0.8108588570793674,0.9038201704207145,0.6562819111784078,29885,0.7212472576169651
cosine,DecisionTree,0.8422701573697289,0.8389824277626645,0.9313349203911981,0.7127061334209579,23930,0.7690595202491766
cosine,KNN,0.8449349994598293,0.8426514653219324,0.940013429579591,0.7208994710231874,22965,0.7768974621643425
cosine,XGBoost,0.8765890021246714,0.8604130177996823,0.9614685428885454,0.7517771826383672,23410,0.8045790382045344
sigmoid,RandomForest,0.8733479779610357,0.8618671693963317,0.9613271592088612,0.7526191240027456,21810,0.8052855355833273
sigmoid,ExtraTrees,0.843674601173971,0.8437758664123511,0.9396070393629904,0.725953107056929,22175,0.7804661694536834
sigmoid,GradientBoosting,0.838380928373366,0.8390243902439024,0.9367659814936049,0.7168985059432532,23045,0.7730845894833883
sigmoid,AdaBoost,0.82775757139256,0.8290381384708868,0.9117265002674945,0.6970092102085912,25015,0.7531555610466013
sigmoid,DecisionTree,0.8415499297778097,0.8409255242227043,0.9408046561831556,0.719233834450479,22935,0.7757171677742368
sigmoid,KNN,0.8457992725701322,0.843356745683348,0.9420732420244571,0.7221444244934904,22860,0.7782514201186694
sigmoid,XGBoost,0.874680399006086,0.8611000239482718,0.9617138019160298,0.7516046718893633,22550,0.8045760331005873
